Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Progesterone-mediated oocyte maturation	10/107	0.11986231616210861472548998563070199452340602874755859375	0.62810887965344852634785866030142642557621002197265625	0.11364523684068501829802499969446216709911823272705078125	0.62775464159616489734361266528139822185039520263671875	-9.82346948356222	20.83962172412669	gnai2b;pik3r3b;hsp90ab1;insb;rps6kal;pik3r1;gnai3;cpeb4a;cpeb3;hsp90aa1.2
ECM-receptor interaction	8/79	0.1099316087555505527806332111140363849699497222900390625	0.62810887965344852634785866030142642557621002197265625	0.1083562969566254918785119798485538922250270843505859375	0.62775464159616489734361266528139822185039520263671875	-9.238530384483111	20.397722089586036	itga4;itgb4;tnc;itgb1a;dag1;col9a1b;itgb6;thbs1b
Pentose phosphate pathway	4/33	0.1407830247499108622388774847422610037028789520263671875	0.62810887965344852634785866030142642557621002197265625	0.14685502783682569116763261263258755207061767578125	0.65519935496429926313766145540284924209117889404296875	-10.400377893245155	20.39030908906174	aldoaa;aldob;rpe;glyctk
Arginine and proline metabolism	4/61	0.5184355372049491705865875701420009136199951171875	0.99999978019658997130392208418925292789936065673828125	0.490457186663720623442941359826363623142242431640625	0.94821722754985982017927881315699778497219085693359375	-29.49635109657744	19.37732063620476	odc1;ckbb;ckmt1;hoga1
Glycosaminoglycan biosynthesis	3/61	0.7301914204286943377297802726388908922672271728515625	0.99999978019658997130392208418925292789936065673828125	0.69791519872055285400591628786060027778148651123046875	0.9920437642947199652354584031854756176471710205078125	-60.86751704289021	19.139703051310942	ext1c;b3gnt2b;fut8a
Base excision repair	2/37	0.6709430934117179834430544360657222568988800048828125	0.99999978019658997130392208418925292789936065673828125	0.64567790691136528469229460824863053858280181884765625	0.9920437642947199652354584031854756176471710205078125	-41	16.361909123563738	smug1;apex1
Thiamine metabolism	2/15	0.23327512939919048395864820122369565069675445556640625	0.8241628766784765414143976158811710774898529052734375	0.24259548427661814518074834268190898001194000244140625	0.80511832384228043668628060913761146366596221923828125	-10.181888011687207	14.82011176952174	tpk1;ak4
Cell cycle	14/139	0.045814382483218570041305639506390434689819812774658203125	0.35429789120355692499941824280540458858013153076171875	0.043886256095260860188300711115516605786979198455810546875	0.3393870471366839947080507045029662549495697021484375	-4.669381440625739	14.396437050892581	ep300b;rbl2;cdc14b;tfdp2;crebbpa;abl1;tp53;cdkn1ca;mdm2;tfdp1a;smad2;ccnd2a;cdkn1a;ccne1
Glutathione metabolism	4/58	0.478540205200018997633293338367366231977939605712890625	0.99999978019658997130392208418925292789936065673828125	0.453512158792950537122834475667332299053668975830078125	0.93941804321396904509100522773223929107189178466796875	-16.521140180209994	12.176328926440933	odc1;idh1;ggctb;gpx1a
Synthesis and degradation of ketone bodies	1/9	0.4338929933390403004267454889486543834209442138671875	0.9947426260973586398250745332916267216205596923828125	0.435181039940465141935277415541349910199642181396484375	0.93781954449353233105313165651750750839710235595703125	-13.573217561901322	11.33305755483945	hmgcs1
Adherens junction	10/97	0.0730043861205283139970134698160109110176563262939453125	0.52928179937383024178387813662993721663951873779296875	0.0720618822287407978510742623257101513445377349853515625	0.491716372854937244785133998448145575821399688720703125	-4.175586748884693	10.928494940608381	ep300b;tgfbr2b;smad2;tcf7l2;ctnna2;actb1;ptprfb;crebbpa;map3k7;tjp1b
Mannose type O-glycan biosynthesis	1/24	0.78081670815756876180557810585014522075653076171875	0.99999978019658997130392208418925292789936065673828125	0.7606716007839209314767003888846375048160552978515625	0.9920437642947199652354584031854756176471710205078125	-42.420326864055816	10.495418610547366	fkrp
Cysteine and methionine metabolism	3/51	0.611890274900403152713579402188770473003387451171875	0.99999978019658997130392208418925292789936065673828125	0.5832806722030223767205825424753129482269287109375	0.9920437642947199652354584031854756176471710205078125	-19.055981601130107	9.3603420278679	mdh1aa;dnmt3ab;mat2b
Mitophagy	8/82	0.1286242715195149710627475769797456450760364532470703125	0.62810887965344852634785866030142642557621002197265625	0.125091361337711981516207515596761368215084075927734375	0.63089556152933001786919930964359082281589508056640625	-4.564083396845182	9.360294927128866	mitfa;bcl2l1;rras;tfeb;bcl2l13;tp53;mfn2;optn
PPAR signaling pathway	5/66	0.3796613115811153793544008294702507555484771728515625	0.9718776790613061766777036609710194170475006103515625	0.358776576391428070333944333469844423234462738037109375	0.9248462858090145122247349718236364424228668212890625	-8.748812079804559	8.47301198194444	acsbg2;acsl1b;acsl1a;cpt1aa;acsl5
Wnt signaling pathway	20/184	0.0091544646866920133254641456233002827502787113189697265625	0.1546384257802025097294773559042369015514850616455078125	0.00897678315040180592465635101007137564010918140411376953125	0.1487581207780870606871559402861748822033405303955078125	-1.776781622131455	8.33934866292889	ep300b;wnt8a;crebbpa;map3k7;wnt5b;tp53;wnt7bb;ctbp2a;vangl1;daam1a;csnk1a1;siah1;sfrp1a;tcf7l2;ccnd2a;prickle2b;daam1b;axin2;axin1;ctbp1
Citrate cycle (TCA cycle)	2/34	0.62496997976682810982396176768816076219081878662109375	0.99999978019658997130392208418925292789936065673828125	0.601775612065388099125584631110541522502899169921875	0.9920437642947199652354584031854756176471710205078125	-17.089606310455572	8.032997862355375	mdh1aa;idh1
Pyrimidine metabolism	5/61	0.317981295578381450983584954883554019033908843994140625	0.8996543972461523708261665888130664825439453125	0.303076579370778087518800703037413768470287322998046875	0.87892208017525652596901863944367505609989166259765625	-6.7656540220796275	7.751834133725303	nt5c3a;uckl1b;nme3;cant1a;entpd1
Purine metabolism	15/151	0.044003190741129627472361107720644213259220123291015625	0.35429789120355692499941824280540458858013153076171875	0.04156925028812612221695843572888406924903392791748046875	0.3393870471366839947080507045029662549495697021484375	-2.4803836888003437	7.747461413838372	impdh1b;ppat;ak4;pde4ba;pde4bb;cant1a;guk1a;entpd1;adssl;nt5c3a;adka;ampd2a;pfas;nme3;paics
Pentose and glucuronate interconversions	2/22	0.393778025136908571557370351001736707985401153564453125	0.9718776790613061766777036609710194170475006103515625	0.387823835551077855665624838366056792438030242919921875	0.9268980862607902881933341632247902452945709228515625	-8.241947499663171	7.6812306385389935	rpe;ugp2b
Butanoate metabolism	1/24	0.78081670815756876180557810585014522075653076171875	0.99999978019658997130392208418925292789936065673828125	0.7606716007839209314767003888846375048160552978515625	0.9920437642947199652354584031854756176471710205078125	-20.00025252365832	4.948359384998403	hmgcs1
Arginine biosynthesis	1/24	0.78081670815756876180557810585014522075653076171875	0.99999978019658997130392208418925292789936065673828125	0.7606716007839209314767003888846375048160552978515625	0.9920437642947199652354584031854756176471710205078125	-20.000103555211883	4.948322527993266	cps1
FoxO signaling pathway	17/165	0.0247490506682449817876801034799427725374698638916015625	0.260989988865128863526621216806233860552310943603515625	0.0236350918392949742308228877618603291921317577362060546875	0.2492427866689288229462562185290153138339519500732421875	-1.2585475489062228	4.655327295570756	ep300b;rbl2;pik3r3b;homer1b;insb;grb2b;crebbpa;prkag2a;sos2;sgk1;mdm2;tgfbr2b;smad2;usp7;ccnd2a;pik3r1;cdkn1a
Notch signaling pathway	4/60	0.50529099679532196720543879564502276480197906494140625	0.99999978019658997130392208418925292789936065673828125	0.478249537635341448460479796267463825643062591552734375	0.94821722754985982017927881315699778497219085693359375	-6.3982594531241155	4.367584886599311	ep300b;crebbpa;ctbp1;ctbp2a
Inositol phosphate metabolism	7/86	0.273961787929748734615742478126776404678821563720703125	0.8650184930906530400562814975273795425891876220703125	0.256804982604865283946082854527048766613006591796875	0.80511832384228043668628060913761146366596221923828125	-3.2718943432501058	4.236339653195447	plcd1b;synj1;plcd1a;inpp4b;inpp5b;pikfyve;plce1
Intestinal immune network for IgA production	1/35	0.89075432600433745999879420196521095931529998779296875	0.99999978019658997130392208418925292789936065673828125	0.87267116785510001619741160538978874683380126953125	0.9920437642947199652354584031854756176471710205078125	-22.104429077075032	2.5571866410143076	itga4
Sphingolipid metabolism	3/59	0.70905288668100119320314433934981934726238250732421875	0.99999978019658997130392208418925292789936065673828125	0.67706185730456047711101064123795367777347564697265625	0.9920437642947199652354584031854756176471710205078125	-7.12054047266458	2.448220980742576	sgms1;sptlc3;smpd2a
Galactose metabolism	1/33	0.8760063515649954002384447449003346264362335205078125	0.99999978019658997130392208418925292789936065673828125	0.85717808668274830807831676793284714221954345703125	0.9920437642947199652354584031854756176471710205078125	-15.448974154331301	2.045165129810946	ugp2b
C-type lectin receptor signaling pathway	9/120	0.3143671159215977173317924098228104412555694580078125	0.8996543972461523708261665888130664825439453125	0.28705650952527539399028455591178499162197113037109375	0.8687593647241749206244776360108517110347747802734375	-1.7542965990733113	2.030061177670388	pik3r3b;ksr1a;pik3r1;rras;ptpn11b;relb;nfkb2;egr2b;mdm2
Nitrogen metabolism	1/19	0.69924931725811367844158894513384439051151275634765625	0.99999978019658997130392208418925292789936065673828125	0.6812843893527273930743604068993590772151947021484375	0.9920437642947199652354584031854756176471710205078125	-5.145811335136504	1.8409033187987038	cps1
Homologous recombination	1/40	0.92040397365920345595924345616367645561695098876953125	0.99999978019658997130392208418925292789936065673828125	0.90446044638351708044865517877042293548583984375	0.9920437642947199652354584031854756176471710205078125	-16.50446874628882	1.3689236074087745	bard1
Glycerophospholipid metabolism	8/98	0.251541270290245921881222557203727774322032928466796875	0.84466907209709807258235514382249675691127777099609375	0.2340344817103313379558215956421918235719203948974609375	0.80511832384228043668628060913761146366596221923828125	-0.7153250976172618	0.9872546504144459	gpd1b;gpd2;gpat2;si:dkey-172j4.3;pisd;dgkza;gpcpd1;dgkh
Terpenoid backbone biosynthesis	1/22	0.75124525386729701370569500795681960880756378173828125	0.99999978019658997130392208418925292789936065673828125	0.73160749440232264451111632297397591173648834228515625	0.9920437642947199652354584031854756176471710205078125	-2.989616465745959	0.8550994016321616	hmgcs1
Basal transcription factors	1/40	0.92040397365920345595924345616367645561695098876953125	0.99999978019658997130392208418925292789936065673828125	0.90446044638351708044865517877042293548583984375	0.9920437642947199652354584031854756176471710205078125	-9.157650549889489	0.7595593786660071	taf6
Other types of O-glycan biosynthesis	1/29	0.84027504947314846095451912333373911678791046142578125	0.99999978019658997130392208418925292789936065673828125	0.82032782958902672465484329222817905247211456298828125	0.9920437642947199652354584031854756176471710205078125	-4.069333958279404	0.7081699150554908	st6gal1
Nicotinate and nicotinamide metabolism	1/30	0.85007240885950652309333008815883658826351165771484375	0.99999978019658997130392208418925292789936065673828125	0.83034541717116649994778754262370057404041290283203125	0.9920437642947199652354584031854756176471710205078125	-3.622514515108863	0.5884186034705061	nt5c3a
Porphyrin and chlorophyll metabolism	2/31	0.5741666015657858057608109447755850851535797119140625	0.99999978019658997130392208418925292789936065673828125	0.5539020825643794498915895019308663904666900634765625	0.9920437642947199652354584031854756176471710205078125	-0.9727768955312565	0.5397313285165402	hmbsb;hmbsa
Melanogenesis	11/137	0.2185096484974793640265744443240691907703876495361328125	0.81764900728089051629154937472776509821414947509765625	0.1978672476194103524438361318971146829426288604736328125	0.740406474962954863627828672179020941257476806640625	-0.31653006460350674	0.4814185225461689	gnai2b;ep300b;mitfa;tcf7l2;wnt8a;crebbpa;gna11a;gnai3;wnt5b;wnt7bb;creb3l3l
Folate biosynthesis	1/29	0.84027504947314846095451912333373911678791046142578125	0.99999978019658997130392208418925292789936065673828125	0.82032782958902672465484329222817905247211456298828125	0.9920437642947199652354584031854756176471710205078125	-2.6692517224494843	0.4645192026333528	gphna
Arachidonic acid metabolism	1/47	0.94891262037306811638615045012556947767734527587890625	0.99999978019658997130392208418925292789936065673828125	0.93611983993033387463356120861135423183441162109375	0.9920437642947199652354584031854756176471710205078125	-8.27971068275853	0.4341761061460676	gpx1a
Insulin signaling pathway	14/165	0.1355507433971767372593575373684871010482311248779296875	0.62810887965344852634785866030142642557621002197265625	0.1210397688898944557056580606513307429850101470947265625	0.63089556152933001786919930964359082281589508056640625	-0.10257558396570078	0.20498799261574177	gys2;ppp1r3cb;pik3r3b;insb;grb2b;prkag2a;sos2;shc2;socs3b;ptprfb;pik3r1;pygl;acacb;crkl
Pyruvate metabolism	2/46	0.78181972134837540711060910325613804161548614501953125	0.99999978019658997130392208418925292789936065673828125	0.7545342629124942579466051029157824814319610595703125	0.9920437642947199652354584031854756176471710205078125	-0.19336516958817612	0.04759318196480491	mdh1aa;acacb
Neuroactive ligand-receptor interaction	7/461	0.99999978019658997130392208418925292789936065673828125	0.99999978019658997130392208418925292789936065673828125	0.9999990494669044327480378342443145811557769775390625	0.9999990494669044327480378342443145811557769775390625	95.86504413016837	-0.000021071465918152558	gcgra;trhra;grm4;grik1a;lepr;grin2da;gpr156
Vascular smooth muscle contraction	2/157	0.99946653154077214065154066702234558761119842529296875	0.99999978019658997130392208418925292789936065673828125	0.99892667779577504205690274829976260662078857421875	0.9999990494669044327480378342443145811557769775390625	29.095267355119475	-0.015525549010410608	ramp2;gna11a
ABC transporters	1/38	0.90965569145706248743721289429231546819210052490234375	0.99999978019658997130392208418925292789936065673828125	0.89282507130727861710539627893012948334217071533203125	0.9920437642947199652354584031854756176471710205078125	0.7145821408980536	-0.06766314844703598	abca1b
Protein export	1/22	0.75124525386729701370569500795681960880756378173828125	0.99999978019658997130392208418925292789936065673828125	0.73160749440232264451111632297397591173648834228515625	0.9920437642947199652354584031854756176471710205078125	0.29763015234696494	-0.08512910204221663	spcs3
RIG-I-like receptor signaling pathway	1/61	0.97896469637189287293921324817347340285778045654296875	0.99999978019658997130392208418925292789936065673828125	0.97148240408967379000415576228988356888294219970703125	0.9920437642947199652354584031854756176471710205078125	6.86913663941244	-0.14603577053642608	map3k7
Tryptophan metabolism	1/50	0.95775659175218741392399124379153363406658172607421875	0.99999978019658997130392208418925292789936065673828125	0.94624965172769159860166610087617300450801849365234375	0.9920437642947199652354584031854756176471710205078125	5.782068160916332	-0.24956338763952432	afmid
Glycolysis / Gluconeogenesis	2/77	0.95391687521888501866129672634997405111789703369140625	0.99999978019658997130392208418925292789936065673828125	0.939067659474811744502176225068978965282440185546875	0.9920437642947199652354584031854756176471710205078125	5.993733851595805	-0.28277683633351947	aldoaa;aldob
Cardiac muscle contraction	7/100	0.414384138616580688374568808285403065383434295654296875	0.980991022031088899524320368072949349880218505859375	0.383021142747929144167784443197888322174549102783203125	0.9268980862607902881933341632247902452945709228515625	0.49075084134646024	-0.43233277610355736	tpm3;tpma;tpm2;tpm4a;cacng6a;cacnb1;atp1a1a.2
Proteasome	3/55	0.66300814206634972602927291518426500260829925537109375	0.99999978019658997130392208418925292789936065673828125	0.6322316504757059529850948820239864289760589599609375	0.9920437642947199652354584031854756176471710205078125	1.270977818604484	-0.5223312226146406	psmb2;psmc4;psma5
GnRH signaling pathway	5/123	0.87904004520044154435964856020291335880756378173828125	0.99999978019658997130392208418925292789936065673828125	0.84654495842485821821554736743564717471599578857421875	0.9920437642947199652354584031854756176471710205078125	5.998488791451874	-0.7733541156328941	grb2b;map2k7;gna11a;map3k4;sos2
Ribosome	4/134	0.967567036054218565510609550983645021915435791015625	0.99999978019658997130392208418925292789936065673828125	0.952987595451122881939909348147921264171600341796875	0.9920437642947199652354584031854756176471710205078125	23.498228557188337	-0.7747499558515663	rpl3;mrpl20;rpl8;rps27.2
Propanoate metabolism	1/32	0.86790240770369531109196259421878494322299957275390625	0.99999978019658997130392208418925292789936065673828125	0.84874051640188985512480712714022956788539886474609375	0.9920437642947199652354584031854756176471710205078125	6.134800398687045	-0.8691540068296786	acacb
Cytokine-cytokine receptor interaction	7/181	0.9319278913972393052489451292785815894603729248046875	0.99999978019658997130392208418925292789936065673828125	0.90483630568151129924814313199021853506565093994140625	0.9920437642947199652354584031854756176471710205078125	12.358054262569464	-0.8712408115831873	tgfbr2b;bmpr1ba;bmpr1bb;lepr;gdf6a;il17rc;bmp6
Lysine degradation	3/73	0.83249733036675233055490252809249795973300933837890625	0.99999978019658997130392208418925292789936065673828125	0.801975273501859486913190266932360827922821044921875	0.9920437642947199652354584031854756176471710205078125	4.924842893322755	-0.9028481230812017	kmt2d;setdb1b;suv39h1b
Valine, leucine and isoleucine degradation	1/55	0.96922916092252886510749476656201295554637908935546875	0.99999978019658997130392208418925292789936065673828125	0.959698375542419768180479877628386020660400390625	0.9920437642947199652354584031854756176471710205078125	31.263883469373596	-0.9771277564910447	hmgcs1
Calcium signaling pathway	9/268	0.9854378120145792507855730946175754070281982421875	0.99999978019658997130392208418925292789936065673828125	0.974939561462052406426437300979159772396087646484375	0.9920437642947199652354584031854756176471710205078125	82.94208467341656	-1.2166987859704208	slc8a1b;plcd1b;trhra;plcd1a;atp2a1;gna11a;atp2b3a;grin2da;plce1
Autophagy	7/158	0.857424710404953938081007436267100274562835693359375	0.99999978019658997130392208418925292789936065673828125	0.81834924804366526718268914919462986290454864501953125	0.9920437642947199652354584031854756176471710205078125	8.04768523558045	-1.2379102743714507	bcl2l1;pik3r3b;insb;dapk1;pik3r1;rras;map3k7
RNA degradation	2/86	0.97142051218485392372059550325502641499042510986328125	0.99999978019658997130392208418925292789936065673828125	0.9603568330593013069318431007559411227703094482421875	0.9920437642947199652354584031854756176471710205078125	43.49145918554489	-1.2610710956452063	cnot6a;papd7
Cell adhesion molecules (CAMs)	5/131	0.90949050373842565964110917775542475283145904541015625	0.99999978019658997130392208418925292789936065673828125	0.8811112542490497911984448364819400012493133544921875	0.9920437642947199652354584031854756176471710205078125	13.420274264318545	-1.2731911124860749	itga4;ptprfb;itgb1a;nrxn1a;nrxn2a
Lysosome	7/137	0.7412576530238836891584242039243690669536590576171875	0.99999978019658997130392208418925292789936065673828125	0.69518885771212668434060333311208523809909820556640625	0.9920437642947199652354584031854756176471710205078125	4.362737832490553	-1.306234264707623	hgsnat;ap1g1;ppt1;zgc:55621;ap1m2;cltcb;acp5a
SNARE interactions in vesicular transport	1/42	0.9298744492418811180556303952471353113651275634765625	0.99999978019658997130392208418925292789936065673828125	0.914835925562610174921474026632495224475860595703125	0.9920437642947199652354584031854756176471710205078125	18.995214708399118	-1.3810604345167286	bet1l
Salmonella infection	3/95	0.93577430451874565875414191395975649356842041015625	0.99999978019658997130392208418925292789936065673828125	0.9155577664964822393045551507384516298770904541015625	0.9920437642947199652354584031854756176471710205078125	23.365542104459422	-1.5510270978557719	actb1;flna;tjp1b
Drug metabolism	3/76	0.85216552252445953996584648848511278629302978515625	0.99999978019658997130392208418925292789936065673828125	0.8227462636550921804001745840650983154773712158203125	0.9920437642947199652354584031854756176471710205078125	10.158794589379463	-1.6251480419487998	impdh1b;uckl1b;nme3
Herpes simplex virus 1 infection	9/176	0.75731471403475747461442324492963962256908416748046875	0.99999978019658997130392208418925292789936065673828125	0.70672232555495895223174329657922498881816864013671875	0.9920437642947199652354584031854756176471710205078125	6.157322609823938	-1.7115902092581492	bcl2l1;pik3r3b;hcfc1b;socs3b;pik3r1;ptpn11b;map3k7;tp53;birc2
Gap junction	8/123	0.48297660025322775023681742823100648820400238037109375	0.99999978019658997130392208418925292789936065673828125	0.44265976593608435951665569518809206783771514892578125	0.93781954449353233105313165651750750839710235595703125	2.4747693504739514	-1.8011051423864866	gnai2b;grb2b;pdgfc;gna11a;gnai3;tuba8l4;sos2;tjp1b
Necroptosis	8/174	0.84278635970926252252155563837732188403606414794921875	0.99999978019658997130392208418925292789936065673828125	0.80020355905651119332588905308512039482593536376953125	0.9920437642947199652354584031854756176471710205078125	12.261022240334794	-2.097147089157364	hsp90ab1;vps4b;pygl;h2afy;birc2;rbck1;h2afy2;hsp90aa1.2
mTOR signaling pathway	11/186	0.59184823347887327571470450493507087230682373046875	0.99999978019658997130392208418925292789936065673828125	0.53671779713856448967845835795742459595203399658203125	0.9882422931440235647215786229935474693775177001953125	4.1801490012460905	-2.192509216309477	pik3r3b;insb;rps6kal;wnt8a;pik3r1;grb2b;wnt5b;grb10b;wnt7bb;sos2;sgk1
